season,team,committee_rank
2014,Alabama,1
2014,Oregon,2
2014,Florida State,3
2014,Ohio State,4
2014,Baylor,5
2014,TCU,6
2014,Mississippi State,7
2014,Michigan State,8
2014,Ole Miss,9
2014,Arizona,10
2014,Kansas State,11
2014,Georgia Tech,12
2014,Georgia,13
2014,UCLA,14
2014,Arizona State,15
2014,Missouri,16
2014,Clemson,17
2014,Wisconsin,18
2014,Auburn,19
2014,Boise State,20
2014,Louisville,21
2014,Utah,22
2014,LSU,23
2014,USC,24
2014,Minnesota,25
2015,Clemson,1
2015,Alabama,2
2015,Michigan State,3
2015,Oklahoma,4
2015,Iowa,5
2015,Stanford,6
2015,Ohio State,7
2015,Notre Dame,8
2015,Florida State,9
2015,North Carolina,10
2015,TCU,11
2015,Ole Miss,12
2015,Northwestern,13
2015,Michigan,14
2015,Oregon,15
2015,Oklahoma State,16
2015,Baylor,17
2015,Houston,18
2015,Florida,19
2015,LSU,20
2015,Navy,21
2015,Utah,22
2015,Tennessee,23
2015,Temple,24
2015,USC,25
2016,Alabama,1
2016,Clemson,2
2016,Ohio State,3
2016,Washington,4
2016,Penn State,5
2016,Michigan,6
2016,Oklahoma,7
2016,Wisconsin,8
2016,USC,9
2016,Colorado,10
2016,Florida State,11
2016,Oklahoma State,12
2016,Louisville,13
2016,Auburn,14
2016,Western Michigan,15
2016,West Virginia,16
2016,Florida,17
2016,Stanford,18
2016,Utah,19
2016,LSU,20
2016,Tennessee,21
2016,Virginia Tech,22
2016,Pittsburgh,23
2016,Temple,24
2016,Navy,25
2017,Clemson,1
2017,Oklahoma,2
2017,Georgia,3
2017,Alabama,4
2017,Ohio State,5
2017,Wisconsin,6
2017,Auburn,7
2017,USC,8
2017,Penn State,9
2017,Miami,10
2017,Washington,11
2017,UCF,12
2017,Stanford,13
2017,Notre Dame,14
2017,TCU,15
2017,Michigan State,16
2017,LSU,17
2017,Washington State,18
2017,Oklahoma State,19
2017,Memphis,20
2017,Northwestern,21
2017,Virginia Tech,22
2017,Mississippi State,23
2017,NC State,24
2017,Boise State,25
2018,Alabama,1
2018,Clemson,2
2018,Notre Dame,3
2018,Oklahoma,4
2018,Georgia,5
2018,Ohio State,6
2018,Michigan,7
2018,UCF,8
2018,Washington,9
2018,Florida,10
2018,LSU,11
2018,Penn State,12
2018,Washington State,13
2018,Kentucky,14
2018,Texas,15
2018,West Virginia,16
2018,Utah,17
2018,Mississippi State,18
2018,Texas A&M,19
2018,Syracuse,20
2018,Fresno State,21
2018,Northwestern,22
2018,Missouri,23
2018,Iowa State,24
2018,Boise State,25
2019,LSU,1
2019,Ohio State,2
2019,Clemson,3
2019,Oklahoma,4
2019,Georgia,5
2019,Oregon,6
2019,Baylor,7
2019,Wisconsin,8
2019,Florida,9
2019,Penn State,10
2019,Utah,11
2019,Auburn,12
2019,Alabama,13
2019,Michigan,14
2019,Notre Dame,15
2019,Iowa,16
2019,Memphis,17
2019,Minnesota,18
2019,Boise State,19
2019,App State,20
2019,Cincinnati,21
2019,USC,22
2019,Navy,23
