rank,team,power_rating,off_rating,def_rating,adj_off_ppa,adj_def_ppa,adj_off_sr,adj_def_sr,games
1,USC,38.6,45.5,7.0,0.142,-0.142,0.489,0.317,13
2,Florida,33.8,46.3,12.4,0.148,-0.121,0.491,0.37,13
3,TCU,28.4,32.0,3.7,0.04,-0.149,0.432,0.275,12
4,Texas,27.9,44.6,16.7,0.141,-0.059,0.477,0.345,13
5,Georgia,25.5,43.4,17.9,0.147,-0.066,0.449,0.373,12
6,Oklahoma,25.1,42.5,17.4,0.127,-0.052,0.464,0.345,13
7,Texas Tech,22.7,55.3,32.6,0.216,0.041,0.531,0.443,11
8,Alabama,21.3,35.3,14.0,0.058,-0.091,0.457,0.351,14
9,Boise State,20.9,35.8,14.8,0.074,-0.076,0.439,0.34,12
10,Penn State,20.8,41.1,20.3,0.106,-0.039,0.474,0.37,12
11,Nebraska,19.4,39.2,19.8,0.09,-0.04,0.468,0.364,13
12,Wisconsin,18.3,36.7,18.4,0.078,-0.06,0.447,0.373,12
13,Ole Miss,17.6,34.6,17.0,0.063,-0.071,0.438,0.368,12
14,Oregon State,16.4,35.4,19.0,0.067,-0.04,0.444,0.351,13
15,Houston,15.2,43.0,27.9,0.13,-0.005,0.469,0.439,11
16,Kansas,15.1,36.8,21.7,0.074,-0.026,0.455,0.373,12
17,Florida State,15.1,34.8,19.7,0.05,-0.043,0.459,0.367,11
18,South Florida,14.7,34.7,19.9,0.047,-0.037,0.462,0.362,12
19,LSU,14.5,33.2,18.7,0.043,-0.052,0.444,0.365,12
20,Utah,14.0,35.3,21.4,0.062,-0.027,0.45,0.37,12
21,Iowa,13.8,30.7,16.8,0.016,-0.077,0.447,0.374,12
22,Missouri,13.7,41.4,27.7,0.086,0.01,0.509,0.412,13
23,Tulsa,13.4,39.3,25.9,0.093,0.01,0.465,0.385,12
24,Oklahoma State,13.2,41.8,28.6,0.114,0.013,0.473,0.423,12
25,Oregon,13.1,30.8,17.7,0.038,-0.058,0.415,0.358,13
26,UConn,12.4,23.0,10.6,-0.035,-0.119,0.402,0.338,12
27,Ohio State,11.3,32.9,21.6,0.058,-0.037,0.417,0.388,12
28,Illinois,10.8,33.5,22.7,0.045,-0.029,0.447,0.393,11
29,Arkansas,10.2,31.9,21.6,0.045,-0.031,0.421,0.38,11
30,Arizona,9.5,32.8,23.3,0.054,-0.021,0.422,0.391,11
31,BYU,8.3,41.9,33.6,0.096,0.052,0.503,0.443,12
