rank,team,power_rating,record,wins,losses,off_rating,def_rating,adj_off_ppa,adj_def_ppa,adj_off_sr,adj_def_sr,srs,epa_rating,games
1,Florida State,35.4,14-0,14,0,52.4,11.0,0.202,-0.14,0.519,0.334,26.5,41.4,13
2,Oregon,27.6,11-2,11,2,47.5,16.5,0.154,-0.098,0.517,0.367,22.3,31.0,12
3,Alabama,26.4,11-2,11,2,43.7,14.4,0.114,-0.114,0.516,0.354,22.1,29.2,12
4,Baylor,24.0,11-2,11,2,40.9,13.8,0.109,-0.119,0.462,0.351,19.4,27.1,12
5,Clemson,20.1,11-2,11,2,39.2,16.2,0.081,-0.087,0.486,0.332,15.7,23.0,11
6,Washington,18.7,9-4,9,4,38.6,18.1,0.091,-0.083,0.451,0.369,16.0,20.5,12
7,Louisville,18.5,12-1,12,1,43.5,20.1,0.121,-0.063,0.497,0.373,11.2,23.4,12
8,Georgia,18.4,8-5,8,5,43.6,21.8,0.129,-0.047,0.481,0.374,13.4,21.8,12
9,LSU,17.9,10-3,10,3,42.8,24.1,0.125,-0.034,0.471,0.398,16.6,18.7,12
10,USC,17.7,10-4,10,4,35.6,15.0,0.064,-0.107,0.442,0.352,13.4,20.6,14
11,Stanford,17.5,11-3,11,3,35.5,18.9,0.057,-0.073,0.455,0.366,19.0,16.6,14
12,Ohio State,17.4,12-2,12,2,46.9,29.1,0.142,0.003,0.531,0.431,16.9,17.8,13
13,Auburn,17.1,12-2,12,2,42.0,26.7,0.104,-0.009,0.502,0.401,19.8,15.3,13
14,Wisconsin,16.9,9-4,9,4,35.9,18.2,0.058,-0.084,0.463,0.373,15.7,17.7,12
15,Oklahoma State,16.0,10-3,10,3,31.1,17.1,0.024,-0.096,0.427,0.375,19.0,14.0,12
16,Arizona,15.4,8-5,8,5,36.8,19.3,0.059,-0.076,0.482,0.382,12.4,17.5,12
17,South Carolina,15.4,11-2,11,2,39.9,25.3,0.101,-0.021,0.459,0.396,16.4,14.7,12
18,Michigan State,15.0,13-1,13,1,24.4,9.3,-0.03,-0.146,0.394,0.307,14.8,15.1,13
19,Texas A&M,14.7,9-4,9,4,46.0,30.7,0.136,0.02,0.522,0.429,13.8,15.3,12
20,Kansas State,14.2,8-5,8,5,41.8,26.7,0.106,-0.025,0.49,0.441,13.1,15.0,12
21,Arizona State,14.1,10-4,10,4,35.2,23.6,0.048,-0.021,0.469,0.357,17.8,11.6,13
22,UCLA,13.9,10-3,10,3,41.8,29.8,0.111,0.009,0.479,0.435,16.8,12.0,13
23,BYU,12.5,8-5,8,5,34.3,19.9,0.056,-0.068,0.429,0.377,9.7,14.4,12
24,Missouri,12.0,12-2,12,2,33.2,27.6,0.048,-0.008,0.423,0.42,21.5,5.7,13
25,Oklahoma,11.8,11-2,11,2,33.5,23.0,0.039,-0.045,0.448,0.398,13.7,10.5,13
26,Virginia Tech,10.5,8-5,8,5,24.2,10.4,-0.026,-0.135,0.38,0.306,5.5,13.8,12
27,Ole Miss,10.2,8-5,8,5,31.8,22.2,0.027,-0.056,0.439,0.404,11.0,9.7,12
28,Oregon State,9.9,7-6,7,6,37.3,27.9,0.059,-0.001,0.492,0.412,10.8,9.4,12
29,Texas Tech,9.5,8-5,8,5,38.1,26.1,0.078,-0.021,0.468,0.415,5.7,12.0,12
30,Mississippi State,9.1,7-6,7,6,33.2,23.0,0.032,-0.036,0.46,0.376,7.3,10.3,12
31,Iowa,8.9,8-5,8,5,25.8,16.5,-0.03,-0.103,0.428,0.378,8.2,9.3,12
32,Pittsburgh,8.7,7-6,7,6,35.3,22.2,0.06,-0.051,0.443,0.392,2.0,13.1,12
33,Utah,8.5,5-7,5,7,30.6,21.0,0.025,-0.046,0.413,0.352,6.8,9.6,11
34,Florida,8.4,4-8,4,8,24.3,15.4,-0.034,-0.107,0.399,0.361,7.6,8.9,11
35,UCF,7.6,12-1,12,1,36.3,29.2,0.054,0.013,0.483,0.41,8.4,7.1,13
36,TCU,7.5,4-8,4,8,23.0,13.3,-0.052,-0.116,0.413,0.331,4.2,9.8,11
37,Washington State,7.1,6-7,6,7,31.7,22.6,0.017,-0.057,0.459,0.416,4.2,9.1,12
38,Georgia Tech,7.1,7-6,7,6,39.7,32.0,0.089,0.026,0.48,0.446,6.2,7.7,11
39,Nebraska,6.9,9-4,9,4,28.8,19.1,0.001,-0.088,0.426,0.404,2.6,9.7,12
40,Michigan,6.4,7-6,7,6,31.0,24.4,0.026,-0.043,0.42,0.429,6.3,6.5,13
41,Notre Dame,6.2,9-4,9,4,30.5,25.4,0.011,-0.039,0.442,0.442,7.8,5.1,13
42,Vanderbilt,6.0,9-4,9,4,30.8,25.4,0.016,-0.035,0.438,0.432,6.9,5.4,12
43,Fresno State,5.6,11-2,11,2,34.6,27.4,0.048,0.003,0.454,0.39,3.3,7.2,12
44,Bowling Green,5.6,10-4,10,4,35.2,29.9,0.059,0.007,0.444,0.441,6.1,5.3,13
45,North Carolina,5.6,7-6,7,6,30.2,24.6,0.01,-0.034,0.439,0.41,5.6,5.6,12
46,Utah State,5.5,9-5,9,5,21.7,17.2,-0.049,-0.087,0.374,0.359,7.1,4.4,13
47,Marshall,5.5,10-4,10,4,36.0,29.0,0.068,0.008,0.443,0.418,3.2,6.9,13
48,Northwestern,4.3,5-7,5,7,35.8,29.1,0.052,-0.007,0.474,0.455,0.7,6.7,11
49,East Carolina,3.8,10-3,10,3,34.4,31.3,0.045,0.025,0.457,0.431,4.7,3.1,12
50,Penn State,3.7,7-5,7,5,29.8,25.3,0.014,-0.025,0.419,0.406,2.5,4.5,12
51,Texas,3.5,8-5,8,5,24.0,23.3,-0.039,-0.043,0.406,0.399,7.7,0.8,13
52,Colorado State,3.5,8-6,8,6,29.9,23.1,0.016,-0.039,0.418,0.385,-1.5,6.8,13
53,Boise State,3.5,8-5,8,5,33.2,29.9,0.036,0.008,0.45,0.439,3.8,3.3,12
54,Miami,3.3,9-4,9,4,35.8,34.0,0.063,0.045,0.449,0.448,5.4,1.9,12
55,Duke,2.6,10-4,10,4,29.9,29.8,0.007,0.001,0.439,0.453,6.4,0.1,13
56,Minnesota,2.0,8-5,8,5,30.1,29.3,0.024,0.001,0.405,0.44,3.8,0.8,12
57,Maryland,1.8,7-6,7,6,27.4,24.0,-0.006,-0.038,0.409,0.404,-0.8,3.4,12
58,Cincinnati,1.1,9-4,9,4,31.7,29.9,0.024,0.015,0.441,0.421,0.1,1.8,12
59,Northern Illinois,1.0,12-2,12,2,33.6,35.4,0.039,0.051,0.452,0.469,5.2,-1.8,13
60,Iowa State,0.7,3-9,3,9,27.3,25.4,-0.009,-0.028,0.414,0.415,-1.1,1.9,11
61,Houston,0.6,8-5,8,5,21.0,23.9,-0.058,-0.048,0.378,0.427,5.9,-2.9,12
62,Syracuse,0.3,7-6,7,6,24.6,24.7,-0.03,-0.038,0.396,0.42,1.0,-0.1,12
63,Wake Forest,-1.2,4-8,4,8,20.0,21.2,-0.065,-0.067,0.37,0.406,-1.1,-1.2,11
64,Florida Atlantic,-1.3,6-6,6,6,20.2,20.0,-0.064,-0.065,0.374,0.374,-3.6,0.2,12
65,SMU,-1.6,5-7,5,7,32.2,30.3,0.031,0.003,0.438,0.459,-6.9,1.9,11
66,Buffalo,-1.8,8-5,8,5,22.5,26.0,-0.048,-0.017,0.389,0.406,0.9,-3.5,12
67,Indiana,-1.8,5-7,5,7,33.0,38.2,0.039,0.081,0.437,0.466,3.3,-5.2,11
68,Boston College,-1.8,7-6,7,6,29.5,32.9,0.013,0.039,0.414,0.438,0.8,-3.5,12
69,West Virginia,-1.8,4-8,4,8,25.9,27.0,-0.011,-0.012,0.385,0.416,-3.0,-1.1,11
70,Rice,-2.0,10-4,10,4,24.7,26.9,-0.031,-0.003,0.405,0.394,-1.7,-2.2,14
71,Tennessee,-2.1,5-7,5,7,24.2,29.7,-0.054,0.02,0.444,0.406,3.0,-5.5,11
72,UTSA,-2.2,7-5,7,5,31.6,32.1,0.024,0.02,0.441,0.464,-4.8,-0.5,12
73,California,-2.2,1-11,1,11,28.0,24.7,-0.002,-0.02,0.416,0.38,-10.5,3.3,11
74,Virginia,-2.5,2-10,2,10,21.4,19.9,-0.056,-0.056,0.383,0.35,-8.5,1.5,11
75,Arkansas,-2.6,3-9,3,9,29.9,33.3,0.008,0.034,0.436,0.459,-1.2,-3.4,11
76,Western Kentucky,-2.7,8-4,8,4,32.0,34.0,0.021,0.051,0.456,0.437,-3.6,-2.0,11
77,Illinois,-2.9,4-8,4,8,32.4,34.2,0.029,0.037,0.447,0.472,-4.5,-1.8,11
78,North Texas,-3.0,9-4,9,4,22.2,29.4,-0.057,0.02,0.405,0.397,3.2,-7.1,13
79,Temple,-3.1,2-10,2,10,33.8,33.5,0.055,0.045,0.419,0.439,-8.2,0.3,11
80,Navy,-3.8,9-4,9,4,31.0,39.4,0.012,0.079,0.454,0.499,3.0,-8.3,11
81,Colorado,-4.4,4-8,4,8,22.6,26.7,-0.062,-0.014,0.424,0.415,-4.6,-4.2,10
82,San Diego State,-4.5,8-5,8,5,20.1,24.7,-0.059,-0.014,0.359,0.367,-4.2,-4.6,12
83,UConn,-4.9,3-9,3,9,20.5,22.1,-0.065,-0.053,0.382,0.396,-9.9,-1.6,11
84,Memphis,-4.9,3-9,3,9,21.7,24.7,-0.054,-0.033,0.385,0.41,-7.9,-3.0,11
85,San José State,-5.3,6-6,6,6,34.4,39.4,0.044,0.09,0.46,0.474,-5.7,-5.0,11
86,Ball State,-5.6,10-3,10,3,26.5,37.0,-0.029,0.065,0.443,0.475,1.7,-10.5,12
87,NC State,-5.7,3-9,3,9,25.0,30.1,-0.021,0.015,0.386,0.426,-6.6,-5.1,11
88,Louisiana,-6.3,9-4,9,4,27.5,35.0,-0.013,0.049,0.428,0.467,-4.4,-7.5,12
89,South Florida,-7.0,2-10,2,10,20.3,23.8,-0.046,-0.05,0.334,0.428,-12.3,-3.5,11
90,Kentucky,-7.4,2-10,2,10,27.3,35.8,-0.013,0.069,0.423,0.437,-5.7,-8.5,11
91,Tulane,-8.2,7-6,7,6,15.3,25.7,-0.11,-0.015,0.363,0.392,-4.8,-10.4,12
92,South Alabama,-8.3,6-6,6,6,23.3,35.9,-0.043,0.065,0.398,0.449,-1.8,-12.6,11
93,Arkansas State,-8.8,8-5,8,5,22.7,34.1,-0.051,0.048,0.401,0.445,-4.8,-11.4,12
94,Troy,-9.0,6-6,6,6,30.1,38.9,0.023,0.104,0.407,0.429,-9.4,-8.8,11
95,Rutgers,-9.4,6-7,6,7,23.6,33.8,-0.039,0.059,0.396,0.415,-8.1,-10.2,12
96,Kansas,-10.1,3-9,3,9,15.1,24.8,-0.105,-0.028,0.345,0.4,-10.8,-9.7,11
97,Army,-10.2,3-9,3,9,31.0,38.0,0.024,0.08,0.424,0.463,-15.0,-7.1,10
98,Tulsa,-10.6,3-9,3,9,18.9,27.6,-0.084,-0.01,0.386,0.425,-13.5,-8.7,12
99,Hawai'i,-10.8,1-11,1,11,19.2,29.3,-0.082,0.015,0.39,0.408,-11.9,-10.1,12
100,Toledo,-10.9,7-5,7,5,27.4,46.1,-0.023,0.15,0.448,0.493,0.8,-18.7,11
101,UNLV,-10.9,7-6,7,6,19.3,32.6,-0.091,0.038,0.414,0.432,-7.4,-13.3,12
102,Nevada,-11.0,4-8,4,8,29.0,43.0,0.008,0.126,0.414,0.477,-6.4,-14.0,11
103,Middle Tennessee,-11.8,8-5,8,5,22.8,38.2,-0.051,0.072,0.405,0.488,-6.3,-15.5,12
104,UL Monroe,-11.9,6-6,6,6,15.7,28.5,-0.097,-0.004,0.342,0.433,-10.5,-12.8,11
105,Akron,-13.1,5-7,5,7,13.9,28.3,-0.115,0.001,0.342,0.417,-11.1,-14.4,11
106,Wyoming,-13.2,5-7,5,7,25.4,38.3,-0.018,0.084,0.39,0.463,-13.5,-12.9,11
107,Purdue,-13.8,1-11,1,11,23.9,37.1,-0.031,0.052,0.385,0.506,-14.8,-13.1,11
108,Kent State,-13.9,4-8,4,8,21.0,38.3,-0.052,0.074,0.363,0.484,-8.8,-17.3,11
109,Ohio,-14.3,7-6,7,6,17.1,35.9,-0.086,0.065,0.349,0.449,-7.6,-18.8,12
110,Louisiana Tech,-15.0,4-8,4,8,20.4,33.1,-0.066,0.03,0.383,0.463,-18.6,-12.6,11
111,New Mexico,-16.7,3-9,3,9,31.5,48.1,0.031,0.165,0.42,0.508,-16.7,-16.7,12
112,Idaho,-16.7,1-11,1,11,19.6,33.7,-0.061,0.036,0.351,0.464,-20.7,-14.1,11
113,Central Michigan,-17.4,6-6,6,6,18.7,39.1,-0.081,0.076,0.377,0.499,-13.0,-20.3,11
114,Texas State,-18.1,6-6,6,6,11.7,31.9,-0.142,0.035,0.352,0.423,-15.1,-20.1,11
115,Georgia State,-18.9,0-12,0,12,17.8,36.1,-0.078,0.06,0.349,0.467,-19.9,-18.3,9
116,UAB,-19.0,2-10,2,10,28.3,47.0,0.012,0.159,0.387,0.493,-19.6,-18.7,11
117,Massachusetts,-21.4,1-11,1,11,12.7,34.7,-0.13,0.036,0.348,0.487,-20.5,-21.9,11
118,New Mexico State,-21.6,2-10,2,10,22.0,42.4,-0.048,0.107,0.378,0.505,-23.4,-20.4,11
119,Air Force,-21.8,2-10,2,10,24.1,47.0,-0.038,0.145,0.405,0.527,-20.1,-22.9,11
120,Western Michigan,-22.8,1-11,1,11,11.0,36.3,-0.14,0.06,0.331,0.469,-19.2,-25.2,11
121,UTEP,-22.9,2-10,2,10,17.0,41.4,-0.085,0.114,0.346,0.465,-20.8,-24.4,12
122,Southern Miss,-25.4,1-11,1,11,8.5,35.3,-0.168,0.058,0.337,0.452,-23.2,-26.8,12
123,Florida International,-26.9,1-11,1,11,6.4,34.4,-0.171,0.049,0.292,0.451,-25.3,-28.0,11
124,Miami (OH),-29.5,0-12,0,12,11.7,44.0,-0.134,0.108,0.332,0.542,-25.3,-32.3,12
125,Eastern Michigan,-30.0,2-10,2,10,13.1,44.9,-0.122,0.125,0.338,0.524,-27.4,-31.8,11
