rank,team,power_rating,off_rating,def_rating,adj_off_ppa,adj_def_ppa,adj_off_sr,adj_def_sr,srs,epa_rating,games
1,Georgia,30.0,45.4,12.6,0.239,-0.195,0.495,0.322,25.8,32.8,14
2,Alabama,29.4,41.2,8.0,0.173,-0.255,0.501,0.295,23.6,33.2,13
3,Oklahoma,26.5,54.3,23.6,0.348,-0.055,0.565,0.392,20.1,30.8,14
4,Clemson,25.7,36.5,9.2,0.104,-0.243,0.489,0.309,23.2,27.3,13
5,Ohio State,25.2,41.7,14.0,0.167,-0.17,0.532,0.315,21.3,27.7,14
6,Auburn,24.9,37.1,10.6,0.112,-0.228,0.492,0.326,22.5,26.5,13
7,Wisconsin,22.2,35.9,13.7,0.098,-0.183,0.481,0.332,22.2,22.2,14
8,Penn State,22.0,42.2,20.3,0.187,-0.087,0.503,0.35,22.1,21.9,13
9,Notre Dame,21.1,39.2,17.2,0.16,-0.141,0.454,0.365,19.9,21.9,13
10,Washington,18.6,38.0,18.5,0.132,-0.128,0.48,0.38,17.3,19.5,12
11,TCU,18.1,32.7,12.8,0.059,-0.186,0.456,0.31,15.4,19.9,13
12,UCF,18.0,39.2,22.4,0.155,-0.068,0.467,0.381,19.6,16.8,12
13,Oklahoma State,17.9,43.3,23.2,0.211,-0.06,0.488,0.392,14.6,20.1,13
14,Mississippi State,16.8,31.6,12.4,0.035,-0.202,0.472,0.332,13.2,19.2,12
15,Louisville,15.5,46.7,28.1,0.25,-0.007,0.521,0.445,10.7,18.6,12
16,LSU,15.4,38.1,20.4,0.129,-0.091,0.486,0.363,12.0,17.6,12
17,Miami,13.8,31.7,18.2,0.048,-0.129,0.445,0.374,14.4,13.5,12
18,NC State,13.3,36.9,23.0,0.121,-0.064,0.463,0.396,12.3,13.9,12
19,Wake Forest,12.7,37.4,24.1,0.129,-0.051,0.462,0.403,11.9,13.3,12
20,Virginia Tech,12.6,28.6,15.5,-0.004,-0.149,0.455,0.318,11.8,13.2,12
21,USC,12.6,35.8,21.9,0.102,-0.074,0.469,0.379,10.7,13.9,14
22,Michigan,12.5,27.0,14.0,-0.014,-0.164,0.421,0.301,11.7,13.0,13
23,Iowa State,12.1,33.2,21.0,0.078,-0.09,0.431,0.381,12.0,12.2,12
24,Iowa,12.0,28.6,18.1,0.011,-0.141,0.42,0.393,14.0,10.6,13
25,Northwestern,10.7,28.3,17.4,-0.004,-0.138,0.444,0.365,10.3,10.9,13
26,Missouri,10.3,39.9,25.6,0.171,-0.024,0.455,0.397,4.3,14.3,12
27,Michigan State,10.1,29.2,20.0,0.007,-0.095,0.452,0.359,11.5,9.2,13
28,Memphis,9.9,37.4,27.7,0.141,-0.003,0.436,0.423,10.3,9.7,12
29,Texas,9.8,23.6,13.2,-0.06,-0.198,0.406,0.353,8.9,10.4,13
30,Stanford,9.4,35.7,26.9,0.118,-0.017,0.425,0.426,10.5,8.7,14
31,Boston College,9.2,27.5,18.3,-0.006,-0.126,0.417,0.366,9.3,9.2,13
32,South Carolina,9.2,30.1,19.3,0.025,-0.12,0.441,0.39,6.9,10.8,12
33,Florida State,9.1,28.4,19.1,-0.004,-0.117,0.449,0.375,8.8,9.3,12
