rank,team,power_rating,record,wins,losses,off_rating,def_rating,adj_off_ppa,adj_def_ppa,adj_off_sr,adj_def_sr,srs,epa_rating,games
1,Alabama,34.4,Preseason,0,0,40.8,6.5,,,,,25.6,33.5,0
2,Clemson,30.6,Preseason,0,0,40.3,9.8,,,,,22.2,29.7,0
3,Ohio State,26.4,Preseason,0,0,40.8,14.6,,,,,20.4,25.6,0
4,Oklahoma,24.7,Preseason,0,0,49.5,24.9,,,,,18.4,24.0,0
5,Washington,24.0,Preseason,0,0,39.1,15.1,,,,,18.1,23.3,0
6,Auburn,23.2,Preseason,0,0,38.1,15.1,,,,,17.6,22.5,0
7,Georgia,21.9,Preseason,0,0,39.3,17.5,,,,,16.8,21.3,0
8,Michigan,21.3,Preseason,0,0,32.3,11.0,,,,,14.5,20.7,0
9,Notre Dame,19.1,Preseason,0,0,36.8,17.8,,,,,14.6,18.5,0
10,LSU,18.8,Preseason,0,0,36.7,18.0,,,,,14.3,18.2,0
11,Mississippi State,18.4,Preseason,0,0,35.8,17.5,,,,,10.4,17.8,0
12,Wisconsin,18.0,Preseason,0,0,35.9,18.0,,,,,18.1,17.4,0
13,Louisville,15.6,Preseason,0,0,43.0,27.5,,,,,10.9,15.1,0
14,Penn State,15.5,Preseason,0,0,38.0,22.5,,,,,17.4,15.1,0
15,Michigan State,14.9,Preseason,0,0,34.1,19.3,,,,,8.0,14.4,0
16,Florida,14.3,Preseason,0,0,30.7,16.5,,,,,4.4,13.9,0
17,Oklahoma State,13.4,Preseason,0,0,39.6,26.4,,,,,12.5,12.9,0
18,TCU,13.2,Preseason,0,0,30.6,17.5,,,,,11.2,12.8,0
19,USC,13.1,Preseason,0,0,34.6,21.6,,,,,12.7,12.7,0
20,Florida State,12.9,Preseason,0,0,34.7,22.0,,,,,11.7,12.5,0
21,Miami,12.8,Preseason,0,0,32.3,19.6,,,,,13.3,12.4,0
22,Texas A&M,12.2,Preseason,0,0,32.4,20.3,,,,,6.9,11.8,0
23,Virginia Tech,11.5,Preseason,0,0,29.7,18.3,,,,,10.8,11.1,0
24,Pittsburgh,9.9,Preseason,0,0,34.7,24.8,,,,,5.1,9.6,0
25,West Virginia,9.9,Preseason,0,0,34.1,24.2,,,,,6.2,9.6,0
26,NC State,9.7,Preseason,0,0,35.2,25.6,,,,,9.8,9.4,0
27,Stanford,9.5,Preseason,0,0,36.8,27.4,,,,,12.1,9.2,0
28,Baylor,9.5,Preseason,0,0,34.5,25.1,,,,,0.5,9.2,0
29,Northwestern,9.1,Preseason,0,0,27.7,18.8,,,,,8.7,8.7,0
30,Missouri,8.9,Preseason,0,0,34.6,25.8,,,,,1.0,8.6,0
31,Washington State,8.5,Preseason,0,0,29.7,21.3,,,,,7.6,8.2,0
32,UCF,8.4,Preseason,0,0,30.5,22.2,,,,,7.6,8.1,0
33,Iowa,8.3,Preseason,0,0,29.7,21.6,,,,,11.9,8.0,0
34,Oregon,8.1,Preseason,0,0,34.3,26.3,,,,,3.9,7.8,0
35,Arkansas,7.6,Preseason,0,0,38.6,31.1,,,,,0.5,7.4,0
36,Texas,7.5,Preseason,0,0,27.1,19.7,,,,,5.5,7.2,0
37,Ole Miss,7.4,Preseason,0,0,37.3,30.0,,,,,5.1,7.1,0
38,Utah,7.0,Preseason,0,0,29.4,22.5,,,,,6.9,6.7,0
39,Wake Forest,6.8,Preseason,0,0,30.6,23.9,,,,,5.8,6.5,0
40,Boston College,6.6,Preseason,0,0,23.4,16.9,,,,,4.5,6.4,0
41,South Carolina,6.4,Preseason,0,0,31.0,24.6,,,,,3.0,6.2,0
42,Boise State,6.4,Preseason,0,0,29.8,23.5,,,,,7.3,6.1,0
43,Iowa State,6.0,Preseason,0,0,32.2,26.3,,,,,5.4,5.7,0
44,Georgia Tech,5.9,Preseason,0,0,35.1,29.3,,,,,6.3,5.6,0
45,UCLA,5.5,Preseason,0,0,30.4,25.0,,,,,1.6,5.3,0
