rank,team,conference,power_rating,record,wins,losses,off_rating,def_rating,adj_off_ppa,adj_def_ppa,adj_off_sr,adj_def_sr,srs,epa_rating,games
1,Ohio State,Big Ten,28.6,1-0,1,0,40.9,12.9,0.375,-0.23,0.44,0.381,29.4,28.0,1
2,Notre Dame,FBS Independents,28.0,1-0,1,0,39.5,13.0,0.351,-0.24,0.422,0.41,30.2,26.5,1
3,Oregon,Big Ten,24.5,1-0,1,0,39.8,14.9,0.358,-0.196,0.421,0.406,24.0,24.8,1
4,Indiana,Big Ten,23.5,1-0,1,0,38.9,16.3,0.334,-0.166,0.43,0.408,24.9,22.6,1
5,Georgia,,23.3,Preseason,0,0,37.9,14.6,,,,,18.2,26.7,0
6,Texas,SEC,21.9,1-0,1,0,34.3,15.3,0.231,-0.191,0.43,0.415,26.4,18.9,1
7,Miami,ACC,21.8,1-0,1,0,36.5,16.6,0.278,-0.157,0.435,0.4,24.7,19.9,1
8,Penn State,Big Ten,21.4,1-0,1,0,35.1,15.1,0.248,-0.188,0.431,0.396,23.5,20.0,1
9,LSU,SEC,20.7,1-0,1,0,34.7,13.7,0.237,-0.216,0.437,0.387,20.4,21.0,1
10,Alabama,SEC,20.3,1-0,1,0,32.9,13.7,0.2,-0.216,0.431,0.39,22.0,19.2,1
11,Texas A&M,SEC,19.6,1-0,1,0,33.4,15.4,0.206,-0.173,0.442,0.376,22.1,18.0,1
12,Ole Miss,SEC,19.2,1-0,1,0,39.5,21.1,0.35,-0.066,0.424,0.423,20.4,18.4,1
13,Oklahoma,SEC,17.8,1-0,1,0,29.9,14.0,0.132,-0.218,0.435,0.407,20.6,16.0,1
14,SMU,,17.6,Preseason,0,0,34.7,17.2,,,,,11.8,20.1,0
15,Texas Tech,,17.4,Preseason,0,0,31.8,14.5,,,,,15.2,19.9,0
16,USC,Big Ten,17.2,2-0,2,0,39.5,22.8,0.322,-0.022,0.491,0.406,17.9,16.8,2
17,Tennessee,,16.9,Preseason,0,0,37.0,20.2,,,,,10.6,19.3,0
18,Washington,Big Ten,16.4,1-0,1,0,32.7,16.9,0.2,-0.152,0.423,0.402,17.2,15.9,1
19,Florida,SEC,15.6,1-0,1,0,34.2,20.4,0.226,-0.077,0.441,0.413,18.2,13.8,1
20,Louisville,ACC,15.4,0-1,0,1,34.4,18.4,0.237,-0.127,0.422,0.424,14.4,16.0,1
21,South Carolina,SEC,15.4,1-0,1,0,32.9,19.2,0.188,-0.095,0.457,0.393,18.0,13.6,1
22,Utah,,14.6,Preseason,0,0,32.3,17.9,,,,,13.1,16.6,0
23,Kansas State,,13.8,Preseason,0,0,34.1,20.4,,,,,10.2,15.7,0
24,Missouri,,13.4,Preseason,0,0,31.3,18.0,,,,,9.9,15.3,0
25,BYU,,13.1,Preseason,0,0,31.7,18.7,,,,,12.2,15.0,0
26,Auburn,SEC,12.0,1-0,1,0,26.9,15.2,0.076,-0.191,0.411,0.409,12.4,11.7,1
27,Arkansas,,11.8,Preseason,0,0,36.9,25.1,,,,,3.2,13.5,0
28,Michigan,Big Ten,10.5,1-0,1,0,30.5,18.6,0.152,-0.113,0.418,0.403,8.4,11.9,1
29,Virginia,ACC,10.4,1-0,1,0,26.7,16.6,0.065,-0.156,0.425,0.4,11.0,10.1,1
30,Boise State,Pac-12,10.2,0-1,0,1,29.7,20.0,0.141,-0.09,0.405,0.422,10.9,9.7,1
31,Pittsburgh,ACC,9.9,1-0,1,0,28.2,21.0,0.093,-0.06,0.437,0.4,13.8,7.2,1
32,UCLA,Big Ten,9.9,1-0,1,0,31.1,22.1,0.155,-0.037,0.442,0.404,11.2,9.0,1
33,Kansas,,9.8,Preseason,0,0,36.9,27.2,,,,,5.9,11.2,0
34,Arizona,,9.3,Preseason,0,0,30.8,21.6,,,,,7.2,10.5,0
35,Nebraska,Big Ten,8.5,1-0,1,0,31.5,23.7,0.168,-0.001,0.432,0.407,9.7,7.7,1
36,Iowa,Big Ten,8.4,1-0,1,0,21.1,14.5,-0.055,-0.194,0.415,0.38,11.1,6.6,1
37,Baylor,Big 12,8.3,0-1,0,1,30.4,22.0,0.155,-0.041,0.408,0.412,8.1,8.4,1
38,Vanderbilt,,7.7,Preseason,0,0,36.3,28.7,,,,,9.1,8.7,0
39,Arizona State,,7.6,Preseason,0,0,28.9,21.3,,,,,6.6,8.7,0
40,UCF,,7.1,Preseason,0,0,29.1,22.1,,,,,0.1,8.1,0
41,Virginia Tech,,6.8,Preseason,0,0,31.4,24.7,,,,,0.9,7.7,0
42,Iowa State,,6.5,Preseason,0,0,29.0,22.6,,,,,8.6,7.3,0
43,Georgia Tech,ACC,6.4,0-1,0,1,29.9,23.2,0.145,-0.015,0.407,0.409,5.9,6.8,1
44,Cincinnati,Big 12,6.3,1-0,1,0,30.3,25.2,0.152,0.029,0.41,0.413,8.0,5.2,1
45,Mississippi State,SEC,6.0,1-0,1,0,30.4,25.3,0.137,0.039,0.446,0.393,7.4,5.1,1
46,Colorado,Big 12,5.2,1-0,1,0,25.2,20.6,0.04,-0.072,0.408,0.408,6.0,4.7,1
47,Illinois,Big Ten,5.2,1-0,1,0,31.5,26.2,0.166,0.049,0.438,0.42,5.0,5.3,1
48,Wisconsin,Big Ten,4.9,0-1,0,1,27.5,21.2,0.09,-0.064,0.409,0.423,2.9,6.3,1
49,Maryland,,4.6,Preseason,0,0,26.2,21.7,,,,,-0.0,5.2,0
50,Florida State,ACC,4.4,1-0,1,0,29.4,25.9,0.128,0.048,0.42,0.404,5.6,3.6,1
51,TCU,Big 12,4.3,0-1,0,1,25.6,21.8,0.051,-0.052,0.402,0.424,5.0,3.9,1
52,Minnesota,,4.0,Preseason,0,0,27.5,23.6,,,,,3.2,4.5,0
53,North Dakota State,Mountain West,3.6,2-0,2,0,24.1,20.4,0.012,-0.072,0.416,0.399,3.3,3.7,1
54,Washington State,Pac-12,3.3,0-1,0,1,25.8,22.0,0.054,-0.046,0.401,0.424,2.8,3.7,1
55,Duke,ACC,3.3,1-0,1,0,25.7,23.9,0.056,0.007,0.395,0.398,5.6,1.8,1
56,Kentucky,,3.1,Preseason,0,0,24.9,21.8,,,,,2.6,3.5,0
57,James Madison,Sun Belt,3.0,1-0,1,0,23.6,19.9,0.001,-0.087,0.413,0.41,2.1,3.6,1
58,Tulane,American Athletic,2.5,0-1,0,1,23.3,19.4,0.001,-0.092,0.397,0.396,0.6,3.9,1
