rank,team,conference,power_rating,record,wins,losses,off_rating,def_rating,adj_off_ppa,adj_def_ppa,adj_off_sr,adj_def_sr,srs,epa_rating,games
1,Notre Dame,FBS Independents,18.7,3-0,3,0,31.8,17.1,0.094,-0.167,0.456,0.347,24.7,14.7,3
2,Alabama,SEC,17.3,3-0,3,0,30.7,17.3,0.072,-0.168,0.453,0.359,23.0,13.4,3
3,Mississippi State,SEC,17.0,3-0,3,0,33.8,20.1,0.127,-0.098,0.476,0.333,21.8,13.7,3
4,Texas,SEC,16.2,3-0,3,0,32.4,19.4,0.103,-0.129,0.464,0.37,20.9,13.1,3
5,Ole Miss,SEC,15.5,3-0,3,0,38.6,26.6,0.214,0.008,0.504,0.398,20.7,12.0,3
6,LSU,SEC,15.4,2-1,2,1,31.2,17.9,0.067,-0.149,0.487,0.344,18.5,13.3,3
7,Louisville,ACC,13.1,2-1,2,1,31.6,21.4,0.091,-0.089,0.453,0.374,17.3,10.2,2
8,Ohio State,Big Ten,12.2,2-1,2,1,28.1,17.3,0.029,-0.174,0.427,0.374,14.3,10.8,3
9,Virginia Tech,ACC,12.1,3-0,3,0,34.9,29.2,0.158,0.045,0.456,0.44,21.5,5.8,2
10,Penn State,Big Ten,11.2,3-0,3,0,23.6,17.0,-0.036,-0.179,0.362,0.37,18.0,6.7,3
11,USC,Big Ten,11.1,4-0,4,0,37.4,26.4,0.177,-0.007,0.534,0.426,11.3,11.0,4
12,UCLA,Big Ten,10.3,3-0,3,0,32.9,25.1,0.12,-0.029,0.448,0.416,13.9,7.8,3
13,BYU,Big 12,10.2,3-0,3,0,29.7,23.8,0.057,-0.055,0.441,0.41,16.6,6.0,2
14,Florida,SEC,9.8,3-0,3,0,34.3,27.9,0.153,0.021,0.437,0.435,15.0,6.4,2
15,Northwestern,Big Ten,9.2,2-0,2,0,26.8,24.9,-0.003,-0.037,0.438,0.421,20.1,1.9,1
16,Maryland,Big Ten,9.1,2-1,2,1,28.8,24.5,0.041,-0.041,0.432,0.416,16.4,4.2,2
17,Pittsburgh,ACC,9.0,3-0,3,0,29.9,23.0,0.065,-0.071,0.431,0.407,12.0,7.0,3
18,Miami,ACC,8.8,3-0,3,0,28.2,23.9,0.035,-0.053,0.417,0.412,15.7,4.3,2
19,Tulsa,American Athletic,8.6,3-0,3,0,29.4,23.9,0.044,-0.04,0.454,0.38,13.1,5.5,2
20,South Carolina,SEC,8.5,2-1,2,1,31.2,24.9,0.081,-0.022,0.457,0.39,11.9,6.3,2
21,Indiana,Big Ten,8.0,3-0,3,0,28.7,24.3,0.048,-0.038,0.411,0.397,13.5,4.4,2
22,West Virginia,Big 12,7.5,3-0,3,0,29.8,24.8,0.067,-0.03,0.422,0.403,11.3,5.0,2
23,Michigan State,Big Ten,7.5,2-1,2,1,32.0,26.5,0.084,-0.004,0.486,0.423,10.5,5.5,3
24,Massachusetts,Mid-American,7.5,3-0,3,0,28.8,25.5,0.037,-0.016,0.441,0.405,13.8,3.3,1
25,Duke,ACC,7.4,3-0,3,0,24.2,18.6,-0.036,-0.162,0.39,0.41,10.1,5.6,3
26,Michigan,Big Ten,7.3,3-0,3,0,28.2,23.3,0.037,-0.049,0.41,0.374,11.1,4.8,3
27,Nebraska,Big Ten,6.9,3-0,3,0,31.2,27.8,0.086,0.024,0.442,0.422,12.3,3.4,2
28,James Madison,Sun Belt,6.9,3-0,3,0,28.7,26.4,0.051,-0.003,0.406,0.416,13.8,2.4,2
29,UCF,Big 12,6.7,2-1,2,1,23.9,21.9,-0.041,-0.084,0.386,0.39,13.9,1.9,2
30,Oklahoma,SEC,6.7,2-1,2,1,27.1,21.8,0.003,-0.084,0.439,0.381,8.8,5.3,3
31,Iowa,Big Ten,6.5,3-0,3,0,24.9,22.5,-0.028,-0.065,0.406,0.372,12.6,2.4,2
32,Missouri,SEC,6.1,3-0,3,0,28.4,20.6,0.04,-0.109,0.416,0.384,3.6,7.8,2
33,Wisconsin,Big Ten,6.0,2-1,2,1,32.1,25.3,0.095,-0.022,0.468,0.406,4.7,6.9,2
34,Iowa State,Big 12,5.5,2-1,2,1,27.6,25.6,0.024,-0.022,0.416,0.421,10.7,2.0,2
35,Kentucky,SEC,5.3,2-1,2,1,29.8,24.5,0.052,-0.042,0.454,0.416,5.5,5.2,2
36,Illinois,Big Ten,5.1,2-1,2,1,33.2,31.5,0.121,0.096,0.458,0.433,10.2,1.7,2
37,SMU,ACC,5.0,2-1,2,1,28.8,25.5,0.027,-0.016,0.463,0.404,7.5,3.2,2
38,Georgia,SEC,4.9,3-0,3,0,30.0,27.7,0.074,0.026,0.414,0.414,8.7,2.3,2
39,Utah,Big 12,4.6,3-0,3,0,28.6,25.8,0.044,-0.004,0.419,0.389,7.2,2.8,2
40,Sam Houston,Conference USA,4.5,1-2,1,2,29.1,23.0,0.033,-0.052,0.465,0.365,2.2,6.1,2
41,Kansas State,Big 12,4.3,3-0,3,0,30.5,25.2,0.075,-0.031,0.436,0.421,2.8,5.4,2
42,Tennessee,SEC,4.1,3-0,3,0,29.7,28.7,0.058,0.033,0.435,0.442,8.6,1.0,2
43,Auburn,SEC,3.8,2-1,2,1,23.8,19.6,-0.048,-0.131,0.396,0.385,3.3,4.2,3
44,Tulane,American Athletic,3.6,1-2,1,2,27.4,23.2,0.035,-0.062,0.378,0.4,2.9,4.2,3
45,North Dakota State,Mountain West,3.6,4-0,4,0,20.6,18.4,-0.09,-0.16,0.341,0.394,5.7,2.2,3
46,UTSA,American Athletic,3.5,2-1,2,1,25.5,21.1,-0.016,-0.108,0.407,0.401,2.1,4.5,2
47,New Mexico,Mountain West,3.5,2-1,2,1,24.6,23.3,-0.03,-0.055,0.392,0.387,6.8,1.3,2
48,Arizona,Big 12,3.4,2-1,2,1,30.3,29.6,0.071,0.06,0.436,0.425,7.5,0.7,2
49,Western Michigan,Mid-American,3.2,2-1,2,1,26.2,27.4,-0.007,0.009,0.417,0.435,9.8,-1.2,2
50,Oklahoma State,Big 12,2.9,2-1,2,1,25.1,24.4,-0.04,-0.031,0.44,0.383,6.3,0.7,2
51,Houston,Big 12,2.6,2-1,2,1,28.4,26.7,0.023,-0.008,0.455,0.441,3.8,1.7,2
52,Virginia,ACC,2.3,2-1,2,1,25.7,25.4,-0.016,-0.021,0.414,0.41,5.3,0.3,2
53,Baylor,Big 12,2.2,2-1,2,1,29.9,28.6,0.067,0.033,0.424,0.437,3.5,1.3,2
54,Troy,Sun Belt,2.1,2-1,2,1,30.1,25.8,0.061,-0.008,0.449,0.399,-1.2,4.3,2
55,Temple,American Athletic,2.1,1-2,1,2,33.8,30.8,0.133,0.063,0.462,0.475,0.6,3.1,2
56,Texas Tech,Big 12,1.9,3-0,3,0,27.1,26.9,0.014,0.011,0.412,0.405,4.5,0.2,2
57,Cincinnati,Big 12,1.9,3-0,3,0,28.3,26.6,0.037,-0.003,0.419,0.423,2.1,1.8,2
58,Liberty,Conference USA,1.7,2-1,2,1,24.4,27.9,-0.039,0.018,0.406,0.438,9.5,-3.4,2
