res_rank,team,conference,res,record,wins,losses,power_rating,power_rank,sor,sor_rank,avg_opp_rating,committee_rank,vs_committee
1,Alabama,SEC,20.59,11-0,11,0,29.4,1,93.8,3,0.5,,
2,Clemson,ACC,18.26,10-1,10,1,25.3,2,91.3,4,2.6,,
3,Notre Dame,FBS Independents,17.34,10-1,10,1,18.4,7,96.6,2,3.6,,
4,Coastal Carolina,Sun Belt,17.24,11-0,11,0,16.8,8,97.6,1,-1.0,,
5,BYU,FBS Independents,14.34,10-1,10,1,23.6,3,71.9,10,-2.6,,
6,Cincinnati,American Athletic,14.17,9-0,9,0,22.7,4,89.8,5,-1.8,,
7,Louisiana,Sun Belt,12.15,9-1,9,1,11.4,12,88.5,6,0.9,,
8,Iowa State,Big 12,11.77,8-3,8,3,18.6,5,62.6,12,6.4,,
9,Oklahoma,Big 12,11.75,8-2,8,2,18.6,6,75.7,9,3.0,,
10,Miami,ACC,9.44,8-2,8,2,8.1,23,71.2,11,5.1,,
11,Texas A&M,SEC,8.11,8-1,8,1,9.4,20,77.7,8,-1.4,,
12,Oklahoma State,Big 12,6.45,7-3,7,3,9.6,18,50.7,14,5.8,,
13,Georgia,SEC,4.66,7-2,7,2,11.8,11,43.2,16,0.9,,
14,San José State,Mountain West,4.6,7-0,7,0,7.9,24,79.3,7,-5.7,,
15,North Carolina,ACC,4.58,8-3,8,3,14.7,9,20.0,23,-0.7,,
16,Texas,Big 12,4.03,6-3,6,3,12.5,10,37.3,17,5.3,,
17,Tulsa,American Athletic,3.62,6-2,6,2,9.4,19,51.9,13,2.6,,
18,Florida,SEC,3.58,8-3,8,3,10.1,15,22.9,20,-1.0,,
19,NC State,ACC,1.93,8-3,8,3,1.4,47,21.6,22,0.9,,
20,App State,Sun Belt,1.86,8-3,8,3,10.0,16,13.4,27,-3.5,,
21,TCU,Big 12,0.99,6-4,6,4,9.7,17,16.2,24,3.9,,
22,Army,FBS Independents,0.61,9-2,9,2,3.6,35,21.7,21,-9.8,,
23,Ball State,Mid-American,0.59,6-1,6,1,7.1,29,49.8,15,-4.0,,
24,UCF,American Athletic,-0.53,6-3,6,3,10.8,14,12.6,30,-0.4,,
25,Liberty,FBS Independents,-0.89,9-1,9,1,-0.0,55,28.9,18,-13.4,,
26,Boston College,ACC,-1.57,6-5,6,5,2.6,40,6.3,38,4.2,,
27,Pittsburgh,ACC,-1.81,6-5,6,5,4.4,34,4.7,40,2.6,,
28,Iowa,Big Ten,-2.53,6-2,6,2,11.1,13,9.0,32,-5.5,,
29,Virginia Tech,ACC,-2.9,5-6,5,6,4.5,33,1.8,47,5.3,,
30,Auburn,SEC,-2.97,6-4,6,4,1.0,49,5.1,39,1.6,,
31,Georgia Southern,Sun Belt,-3.06,7-5,7,5,2.5,43,0.9,52,-3.9,,
32,SMU,American Athletic,-3.14,7-3,7,3,0.3,52,9.0,33,-4.6,,
33,West Virginia,Big 12,-3.16,5-4,5,4,6.7,31,8.2,34,1.3,,
34,Memphis,American Athletic,-3.54,7-3,7,3,-5.3,75,13.0,29,-2.7,,
35,Boise State,Mountain West,-3.76,5-2,5,2,7.7,25,23.4,19,-5.1,,
36,Virginia,ACC,-3.8,5-5,5,5,2.6,41,4.1,42,3.5,,
37,UAB,Conference USA,-4.09,6-3,6,3,7.1,30,3.5,44,-5.7,,
38,Tulane,American Athletic,-4.42,6-5,6,5,3.2,38,0.3,56,-3.0,,
39,Marshall,Conference USA,-4.58,7-2,7,2,1.4,48,7.4,35,-9.2,,
40,Toledo,Mid-American,-4.58,4-2,4,2,9.3,21,15.5,26,-1.4,,
41,Nevada,Mountain West,-4.71,6-2,6,2,2.5,44,10.3,31,-5.9,,
42,Western Michigan,Mid-American,-4.79,4-2,4,2,7.7,26,16.1,25,-1.0,,
43,Northwestern,Big Ten,-5.13,6-2,6,2,7.1,28,6.8,36,-9.6,,
44,UTSA,Conference USA,-5.36,7-4,7,4,-3.7,64,0.7,53,-6.0,,
45,Wake Forest,ACC,-5.38,4-4,4,4,3.2,39,6.7,37,3.0,,
46,Louisville,ACC,-5.41,4-7,4,7,7.1,27,0.0,88,1.8,,
47,Georgia State,Sun Belt,-5.71,5-4,5,4,-0.1,57,3.7,43,0.0,,
48,Indiana,Big Ten,-5.83,6-1,6,1,5.3,32,13.4,28,-12.0,,
49,Kansas State,Big 12,-6.11,4-6,4,6,-1.6,59,2.0,46,5.6,,
50,Troy,Sun Belt,-6.35,5-6,5,6,0.8,50,0.1,63,-1.6,,
51,Texas Tech,Big 12,-6.35,4-6,4,6,0.3,51,1.3,49,3.7,,
52,Houston,American Athletic,-7.02,3-4,3,4,2.5,42,3.4,45,4.8,,
53,LSU,SEC,-7.29,5-5,5,5,-5.0,73,0.9,51,-0.3,,
54,Missouri,SEC,-7.65,5-5,5,5,-5.9,78,0.6,54,-0.6,,
55,Arkansas,SEC,-7.88,3-7,3,7,1.8,45,0.0,79,3.7,,
56,Georgia Tech,ACC,-8.47,3-7,3,7,-1.4,58,0.1,61,4.3,,
57,Central Michigan,Mid-American,-8.54,3-3,3,3,3.3,36,4.2,41,-0.4,,
58,Hawai'i,Mountain West,-8.94,4-4,4,4,-2.8,62,1.0,50,-1.5,,
59,Ole Miss,SEC,-9.05,4-5,4,5,-3.2,63,0.1,62,-1.3,,
60,Kentucky,SEC,-9.1,4-6,4,6,-4.2,67,0.0,87,-0.7,,
61,Baylor,Big 12,-9.12,2-7,2,7,0.1,54,0.2,59,6.5,,
62,San Diego State,Mountain West,-9.18,4-4,4,4,3.2,37,0.2,58,-6.4,,
63,Western Kentucky,Conference USA,-9.27,5-6,5,6,-6.8,79,0.0,72,-4.5,,
