sor_rank,team,conference,sor,wins,losses,record,bench_exp_wins,win_diff,avg_opp_rating,power_rating,power_rank,games
1,Ohio State,Big Ten,97.2,12,0,12-0,9.69,2.31,1.8,22.3,2,12
2,Florida,SEC,95.6,12,1,12-1,9.55,2.45,4.1,18.2,4,13
3,Michigan,Big Ten,91.2,11,1,11-1,9.3,1.7,2.8,17.7,6,12
4,Boise State,Western Athletic,87.3,12,0,12-0,10.79,1.21,-6.9,12.7,14,12
5,USC,Pac-10,82.4,10,2,10-2,8.53,1.47,6.1,17.8,5,12
6,Louisville,Big East,81.1,11,1,11-1,9.8,1.2,0.7,21.9,3,12
7,Auburn,SEC,79.8,10,2,10-2,8.84,1.16,2.5,7.9,32,12
8,Wisconsin,Big Ten,69.2,11,1,11-1,10.41,0.59,-3.8,16.5,7,12
9,Oklahoma,Big 12,69.1,11,2,11-2,10.25,0.75,2.0,13.9,11,13
10,Arkansas,SEC,66.2,10,3,10-3,9.39,0.61,2.2,11.7,18,13
11,Rutgers,Big East,65.6,10,2,10-2,9.45,0.55,0.2,9.5,27,12
12,Tennessee,SEC,63.3,9,3,9-3,8.49,0.51,4.6,9.6,26,12
13,LSU,SEC,60.9,10,2,10-2,9.62,0.38,0.3,23.1,1,12
14,Notre Dame,FBS Independents,56.7,10,2,10-2,9.74,0.26,-0.6,10.5,20,12
15,California,Pac-10,52.1,9,3,9-3,8.89,0.11,2.9,11.8,17,12
16,West Virginia,Big East,50.0,10,2,10-2,9.93,0.07,-0.8,14.7,10,12
17,Wake Forest,ACC,45.9,11,2,11-2,11.06,-0.06,-2.2,2.6,47,13
18,Virginia Tech,ACC,44.1,10,2,10-2,10.12,-0.12,-1.3,12.3,15,12
19,Texas,Big 12,40.9,9,3,9-3,9.27,-0.27,-0.2,11.4,19,12
20,BYU,Mountain West,39.9,10,2,10-2,10.24,-0.24,-3.1,15.9,8,12
21,Oregon State,Pac-10,33.9,9,4,9-4,9.6,-0.6,2.8,9.7,25,13
22,Texas A&M,Big 12,28.1,9,3,9-3,9.73,-0.73,-1.9,8.1,31,12
23,Boston College,ACC,26.0,9,3,9-3,9.81,-0.81,-1.4,12.1,16,12
24,Nebraska,Big 12,23.7,9,4,9-4,9.98,-0.98,0.6,8.2,30,13
25,TCU,Mountain West,21.1,10,2,10-2,10.8,-0.8,-5.9,15.1,9,12
26,Penn State,Big Ten,19.2,8,4,8-4,9.07,-1.07,0.6,3.9,42,12
27,Kentucky,SEC,13.9,7,5,7-5,8.38,-1.38,3.8,-3.0,61,12
28,Maryland,ACC,12.3,8,4,8-4,9.54,-1.54,-0.1,-5.2,69,12
29,UCLA,Pac-10,12.1,7,5,7-5,8.7,-1.7,4.2,5.3,39,12
30,Cincinnati,Big East,11.3,7,5,7-5,8.55,-1.55,3.0,6.9,33,12
31,Arizona,Pac-10,10.8,6,6,6-6,7.87,-1.87,6.5,-0.7,54,12
32,South Florida,Big East,10.7,8,4,8-4,9.52,-1.52,-1.3,6.8,34,12
33,Oregon,Pac-10,10.6,7,5,7-5,8.77,-1.77,2.6,13.8,12,12
34,Georgia,SEC,8.9,8,4,8-4,9.74,-1.74,-0.0,9.5,28,12
35,Georgia Tech,ACC,8.9,9,4,9-4,10.77,-1.77,-1.2,3.8,43,13
36,Arizona State,Pac-10,8.4,7,5,7-5,8.97,-1.97,2.7,9.8,24,12
37,Clemson,ACC,7.3,8,4,8-4,9.85,-1.85,-2.3,10.2,22,12
38,Missouri,Big 12,6.9,8,4,8-4,9.94,-1.94,-0.8,10.1,23,12
39,South Carolina,SEC,4.7,7,5,7-5,9.33,-2.33,1.4,12.8,13,12
40,Texas Tech,Big 12,3.8,7,5,7-5,9.4,-2.4,0.2,8.5,29,12
41,Houston,Conference USA,3.2,10,3,10-3,12.02,-2.02,-7.0,3.1,46,13
42,Purdue,Big Ten,3.2,8,5,8-5,10.58,-2.58,-0.8,-4.2,66,13
43,Navy,FBS Independents,2.8,9,3,9-3,11.02,-2.02,-8.7,0.8,52,12
44,Kansas State,Big 12,2.2,7,5,7-5,9.66,-2.66,-0.3,3.5,44,12
45,Washington State,Pac-10,1.9,6,6,6-6,9.01,-3.01,3.1,10.4,21,12
46,Minnesota,Big Ten,1.5,6,6,6-6,8.83,-2.83,1.2,-1.9,56,12
47,Washington,Pac-10,1.4,5,7,5-7,8.28,-3.28,5.6,-4.5,67,12
48,Alabama,SEC,1.2,6,6,6-6,8.88,-2.88,1.8,5.8,37,12
49,Southern Miss,Conference USA,0.9,8,5,8-5,10.93,-2.93,-3.3,-0.9,55,13
50,Ohio,Mid-American,0.7,9,4,9-4,11.73,-2.73,-7.5,-9.9,87,13
51,Oklahoma State,Big 12,0.7,6,6,6-6,9.51,-3.51,0.1,5.1,40,12
52,Utah,Mountain West,0.7,7,5,7-5,10.06,-3.06,-3.3,-2.6,60,12
53,Central Michigan,Mid-American,0.6,9,4,9-4,11.64,-2.64,-7.7,-4.9,68,13
54,Tulsa,Conference USA,0.6,8,4,8-4,10.7,-2.7,-7.1,4.9,41,12
55,Pittsburgh,Big East,0.4,6,6,6-6,9.59,-3.59,0.3,3.4,45,12
56,Rice,Conference USA,0.3,7,5,7-5,10.47,-3.47,-3.8,-13.2,95,12
57,Iowa,Big Ten,0.2,6,6,6-6,9.55,-3.55,-0.3,6.4,35,12
58,Miami,ACC,0.2,6,6,6-6,9.7,-3.7,-1.4,5.9,36,12
59,Syracuse,Big East,0.1,4,8,4-8,8.83,-4.83,4.2,-5.4,70,12
60,Florida State,ACC,0.1,6,6,6-6,10.03,-4.03,-0.3,5.4,38,12
61,Baylor,Big 12,0.1,4,8,4-8,8.87,-4.87,3.0,-5.7,71,12
62,Western Michigan,Mid-American,0.1,8,4,8-4,11.32,-3.32,-9.8,-3.7,64,12
63,Kansas,Big 12,0.1,6,6,6-6,10.19,-4.19,-1.5,1.9,48,12
64,East Carolina,Conference USA,0.1,7,5,7-5,10.81,-3.81,-5.0,-1.9,57,12
65,Vanderbilt,SEC,0.0,4,8,4-8,8.85,-4.85,1.4,0.8,51,12
