sor_rank,team,conference,sor,wins,losses,record,bench_exp_wins,win_diff,avg_opp_rating,power_rating,power_rank,games
1,Alabama,SEC,98.0,13,1,13-1,10.04,2.96,5.5,30.9,1,14
2,Notre Dame,FBS Independents,97.3,12,1,12-1,9.46,2.54,6.0,17.4,5,13
3,Ohio State,Big Ten,97.1,12,0,12-0,9.73,2.27,1.1,14.7,13,12
4,Florida,SEC,92.6,11,2,11-2,9.01,1.99,6.3,15.4,11,13
5,Georgia,SEC,87.9,12,2,12-2,10.38,1.62,3.9,16.2,7,14
6,Oregon,Pac-12,87.5,12,1,12-1,10.37,1.63,1.9,21.9,4,13
7,Texas A&M,SEC,86.7,11,2,11-2,9.45,1.55,4.0,27.1,2,13
8,Kansas State,Big 12,85.4,11,2,11-2,9.46,1.54,4.0,13.7,14,13
9,Stanford,Pac-12,82.8,12,2,12-2,10.59,1.41,4.9,12.9,19,14
10,LSU,SEC,79.7,10,3,10-3,8.84,1.16,5.8,15.3,12,13
11,South Carolina,SEC,78.2,11,2,11-2,9.88,1.12,3.1,15.9,10,13
12,Oklahoma,Big 12,73.1,10,3,10-3,9.04,0.96,6.0,16.0,9,13
13,Clemson,ACC,63.6,11,2,11-2,10.53,0.47,0.9,16.2,8,13
14,Florida State,ACC,47.5,12,2,12-2,12.02,-0.02,-2.3,23.9,3,14
15,Louisville,Big East,44.5,11,2,11-2,11.11,-0.11,-2.3,7.3,36,13
16,Texas,Big 12,39.9,9,4,9-4,9.37,-0.37,5.2,9.2,31,13
17,Oregon State,Pac-12,31.9,9,4,9-4,9.68,-0.68,4.9,9.8,27,13
18,Nebraska,Big Ten,31.6,10,4,10-4,10.69,-0.69,3.3,16.6,6,14
19,Boise State,Mountain West,30.5,11,2,11-2,11.53,-0.53,-4.7,5.1,45,13
20,Northwestern,Big Ten,30.5,10,3,10-3,10.64,-0.64,0.1,4.6,50,13
21,San José State,Western Athletic,29.5,11,2,11-2,11.56,-0.56,-5.9,7.3,35,13
22,Utah State,Western Athletic,27.1,11,2,11-2,11.62,-0.62,-7.5,9.1,32,13
23,Michigan,Big Ten,17.7,8,5,8-5,9.23,-1.23,3.4,9.4,29,13
24,Vanderbilt,SEC,16.6,9,4,9-4,10.32,-1.32,-0.4,3.7,52,13
25,Arkansas State,Sun Belt,14.9,10,3,10-3,11.09,-1.09,-3.1,4.7,49,13
26,Baylor,Big 12,10.5,8,5,8-5,9.89,-1.89,3.8,13.1,16,13
27,Mississippi State,SEC,9.9,8,5,8-5,9.6,-1.6,3.3,4.1,51,13
28,Northern Illinois,Mid-American,9.4,12,2,12-2,13.01,-1.01,-10.3,0.7,61,14
29,Oklahoma State,Big 12,9.3,8,5,8-5,9.94,-1.94,3.7,13.3,15,13
30,UCLA,Pac-12,8.8,9,5,9-5,11.02,-2.02,3.1,7.7,33,14
31,Louisiana Tech,Western Athletic,7.9,9,3,9-3,10.44,-1.44,-5.2,0.5,62,12
32,Miami,ACC,7.3,7,5,7-5,8.99,-1.99,3.7,-0.8,64,12
33,Arizona,Pac-12,6.9,8,5,8-5,10.1,-2.1,2.3,4.9,48,13
34,Cincinnati,Big East,6.9,10,3,10-3,11.72,-1.72,-5.2,2.6,56,13
35,Ole Miss,SEC,6.8,7,6,7-6,9.02,-2.02,5.6,12.5,20,13
36,Tulsa,Conference USA,6.7,11,3,11-3,12.77,-1.77,-3.9,6.2,40,14
37,Texas Tech,Big 12,5.9,8,5,8-5,10.18,-2.18,0.7,13.0,17,13
