rank,team,conference,power_rating,record,wins,losses,off_rating,def_rating,srs,epa_rating,games,blend_weight
1,Alabama,,38.1,11-0,11,0,49.7,6.5,30.4,43.2,10,1.0
2,Clemson,,28.2,11-0,11,0,39.8,9.0,24.2,30.8,10,1.0
3,Georgia,,28.1,10-1,10,1,48.9,18.6,25.0,30.2,10,1.0
4,Michigan,,26.4,10-1,10,1,41.3,11.0,20.6,30.3,11,1.0
5,Mississippi State,,23.1,7-4,7,4,38.3,9.2,13.9,29.2,10,1.0
6,Oklahoma,,20.3,10-1,10,1,55.4,33.5,18.0,21.9,11,1.0
7,Missouri,,19.6,7-4,7,4,38.5,17.4,17.2,21.1,10,1.0
8,Notre Dame,,18.0,11-0,11,0,34.6,16.6,18.1,18.0,11,1.0
9,LSU,,16.8,9-2,9,2,31.8,14.1,15.6,17.7,10,1.0
10,UCF,,16.3,10-0,10,0,41.8,25.6,16.4,16.2,9,1.0
11,Florida,,16.2,8-3,8,3,39.4,21.0,12.9,18.4,9,1.0
12,Texas A&M,,14.7,7-4,7,4,39.1,22.9,12.3,16.2,10,1.0
13,Washington State,,14.6,10-1,10,1,40.5,25.2,13.5,15.3,10,1.0
14,West Virginia,,14.3,8-2,8,2,38.3,25.6,16.6,12.7,9,1.0
15,Utah,,14.3,8-3,8,3,33.3,18.2,13.0,15.2,10,1.0
16,Auburn,,13.5,7-4,7,4,30.8,15.1,10.1,15.7,10,1.0
17,Ohio State,,12.8,10-1,10,1,39.2,25.9,12.1,13.3,11,1.0
18,Iowa,,12.4,7-4,7,4,28.7,17.6,14.2,11.1,10,1.0
19,Utah State,,12.0,10-1,10,1,34.4,21.2,10.0,13.3,10,1.0
20,Kentucky,,11.8,8-3,8,3,28.7,17.1,11.9,11.7,10,1.0
21,Fresno State,,11.1,9-2,9,2,31.9,22.2,13.1,9.8,10,1.0
22,South Carolina,,11.1,6-4,6,4,36.3,24.5,10.1,11.8,9,1.0
23,Washington,,10.7,8-3,8,3,33.5,22.4,10.0,11.2,10,1.0
24,Texas,,10.6,8-3,8,3,36.5,26.1,10.9,10.3,11,1.0
25,Penn State,,10.5,8-3,8,3,29.6,19.8,11.5,9.8,11,1.0
26,Wisconsin,,10.4,7-4,7,4,37.6,25.3,7.6,12.3,11,1.0
27,Iowa State,,10.0,6-4,6,4,29.2,19.4,10.2,9.8,10,1.0
28,Cincinnati,,9.6,9-2,9,2,27.7,16.5,7.2,11.2,10,1.0
29,Ole Miss,,9.3,5-6,5,6,42.0,28.9,3.6,13.0,10,1.0
30,Pittsburgh,,9.0,7-4,7,4,37.1,26.6,6.8,10.5,10,1.0
31,Boise State,,8.9,9-2,9,2,37.2,28.0,8.5,9.2,11,1.0
32,Miami,,8.6,6-5,6,5,26.6,16.6,6.3,10.0,10,1.0
33,Vanderbilt,,8.3,5-6,5,6,36.1,28.2,8.8,8.0,10,1.0
34,Michigan State,,8.3,6-5,6,5,23.0,14.0,7.1,9.0,11,1.0
35,Stanford,,8.1,6-4,6,4,36.3,28.5,8.5,7.8,9,1.0
36,Purdue,,7.6,5-6,5,6,35.4,28.3,8.2,7.1,11,1.0
37,Temple,,7.4,7-4,7,4,30.3,23.0,7.4,7.3,10,1.0
38,App State,,7.2,8-2,8,2,25.9,19.2,8.0,6.6,9,1.0
39,Oklahoma State,,7.1,6-5,6,5,36.2,28.8,6.8,7.4,10,1.0
40,Maryland,,6.4,5-6,5,6,29.6,22.1,4.9,7.5,11,1.0
41,Texas Tech,,5.8,5-6,5,6,30.8,26.0,7.3,4.8,10,1.0
42,Arizona State,,5.3,6-5,6,5,35.9,30.2,4.8,5.7,11,1.0
43,Nebraska,,5.1,4-7,4,7,34.7,27.1,1.3,7.7,10,1.0
44,NC State,,5.0,7-3,7,3,34.9,31.7,7.9,3.2,9,1.0
45,Northwestern,,5.0,7-4,7,4,26.1,22.0,6.3,4.1,11,1.0
46,Oregon,,4.9,7-4,7,4,31.6,25.9,3.7,5.7,10,1.0
47,Virginia,,4.5,7-4,7,4,27.9,24.1,5.4,3.9,10,1.0
48,Tennessee,,3.9,5-6,5,6,29.9,24.2,1.2,5.7,10,1.0
49,Duke,,3.8,7-4,7,4,28.3,25.9,5.9,2.5,10,1.0
