rank,team,conference,power_rating,record,wins,losses,off_rating,def_rating,adj_off_ppa,adj_def_ppa,adj_off_sr,adj_def_sr,srs,epa_rating,games
1,Notre Dame,FBS Independents,28.2,1-0,1,0,39.6,12.8,0.38,-0.298,0.423,0.413,30.2,26.8,1
2,Ohio State,Big Ten,27.8,1-0,1,0,40.1,13.4,0.384,-0.272,0.441,0.382,29.4,26.7,1
3,Oregon,Big Ten,23.9,1-0,1,0,39.0,15.2,0.365,-0.237,0.422,0.407,24.0,23.8,1
4,Georgia,,23.3,Preseason,0,0,37.9,14.6,,,,,18.2,26.7,0
5,Indiana,Big Ten,23.3,1-0,1,0,38.7,16.4,0.353,-0.209,0.431,0.409,24.9,22.3,1
6,Texas,SEC,22.3,1-0,1,0,34.3,14.7,0.243,-0.253,0.431,0.415,26.4,19.6,1
7,Penn State,Big Ten,21.9,1-0,1,0,35.1,14.3,0.264,-0.255,0.432,0.396,23.5,20.8,1
8,Miami,ACC,21.2,1-0,1,0,36.4,17.5,0.295,-0.176,0.436,0.401,24.7,18.9,1
9,Texas A&M,SEC,20.0,1-0,1,0,33.5,14.9,0.217,-0.231,0.443,0.376,22.1,18.5,1
10,LSU,SEC,19.9,1-0,1,0,34.3,14.8,0.241,-0.24,0.438,0.388,20.4,19.5,1
11,Alabama,SEC,19.3,1-0,1,0,32.6,15.0,0.201,-0.234,0.432,0.39,22.0,17.6,1
12,Ole Miss,SEC,19.3,1-0,1,0,39.1,20.5,0.365,-0.111,0.426,0.421,20.4,18.6,1
13,Oklahoma,SEC,18.5,1-0,1,0,30.0,12.9,0.135,-0.294,0.436,0.407,20.6,17.1,1
14,Texas Tech,,17.4,Preseason,0,0,31.8,14.5,,,,,15.2,19.9,0
15,Tennessee,,16.9,Preseason,0,0,37.0,20.2,,,,,10.6,19.3,0
16,Washington,Big Ten,16.7,1-0,1,0,32.9,16.6,0.211,-0.201,0.424,0.404,17.2,16.3,1
17,SMU,ACC,16.0,1-0,1,0,34.2,18.1,0.238,-0.167,0.439,0.409,15.9,16.1,1
18,USC,Big Ten,16.0,2-0,2,0,38.5,23.7,0.321,-0.025,0.492,0.406,17.9,14.7,2
19,Florida,SEC,15.6,1-0,1,0,33.9,20.1,0.228,-0.118,0.442,0.414,18.2,13.8,1
20,South Carolina,SEC,14.8,1-0,1,0,32.6,19.9,0.189,-0.114,0.458,0.393,18.0,12.7,1
21,Louisville,ACC,14.8,0-1,0,1,33.4,18.4,0.225,-0.166,0.421,0.426,14.4,15.0,1
22,Utah,,14.6,Preseason,0,0,32.3,17.9,,,,,13.1,16.6,0
23,Kansas State,,13.8,Preseason,0,0,34.1,20.4,,,,,10.2,15.7,0
24,Missouri,,13.4,Preseason,0,0,31.3,18.0,,,,,9.9,15.3,0
25,BYU,,13.1,Preseason,0,0,31.7,18.7,,,,,12.2,15.0,0
26,Arkansas,,11.8,Preseason,0,0,36.9,25.1,,,,,3.2,13.5,0
27,Auburn,SEC,11.7,1-0,1,0,26.8,15.5,0.064,-0.23,0.412,0.41,12.4,11.2,1
28,Virginia,ACC,10.8,1-0,1,0,26.9,16.2,0.062,-0.21,0.426,0.401,11.0,10.7,1
29,UCLA,Big Ten,10.5,1-0,1,0,31.0,21.0,0.158,-0.092,0.443,0.404,11.2,10.1,1
30,Boise State,Pac-12,10.3,0-1,0,1,29.6,19.6,0.137,-0.134,0.406,0.422,10.9,10.0,1
31,Kansas,,9.8,Preseason,0,0,36.9,27.2,,,,,5.9,11.2,0
32,Pittsburgh,ACC,9.6,1-0,1,0,28.2,21.5,0.088,-0.078,0.438,0.4,13.8,6.7,1
33,Michigan,Big Ten,9.6,1-0,1,0,29.9,19.6,0.139,-0.126,0.419,0.403,8.4,10.3,1
34,Arizona,,9.3,Preseason,0,0,30.8,21.6,,,,,7.2,10.5,0
35,Iowa,Big Ten,8.2,1-0,1,0,21.3,15.1,-0.073,-0.228,0.416,0.381,11.1,6.2,1
36,Baylor,Big 12,8.1,0-1,0,1,30.3,22.3,0.154,-0.063,0.409,0.413,8.1,8.0,1
37,Nebraska,Big Ten,8.1,1-0,1,0,31.0,23.9,0.162,-0.019,0.433,0.408,9.7,7.1,1
38,Vanderbilt,,7.7,Preseason,0,0,36.3,28.7,,,,,9.1,8.7,0
39,Arizona State,,7.6,Preseason,0,0,28.9,21.3,,,,,6.6,8.7,0
40,UCF,,7.1,Preseason,0,0,29.1,22.1,,,,,0.1,8.1,0
41,Cincinnati,Big 12,6.9,1-0,1,0,30.6,24.5,0.161,-0.008,0.411,0.413,8.0,6.1,1
42,Virginia Tech,,6.8,Preseason,0,0,31.4,24.7,,,,,0.9,7.7,0
43,Iowa State,,6.5,Preseason,0,0,29.0,22.6,,,,,8.6,7.3,0
44,Georgia Tech,ACC,6.2,0-1,0,1,30.5,24.1,0.158,-0.016,0.408,0.41,5.9,6.4,1
45,Mississippi State,SEC,5.6,1-0,1,0,30.1,25.8,0.133,0.032,0.447,0.394,7.4,4.3,1
46,Florida State,ACC,5.1,1-1,1,1,31.3,27.5,0.176,0.06,0.414,0.427,6.9,3.8,2
47,Colorado,Big 12,5.0,1-0,1,0,25.8,21.5,0.041,-0.081,0.409,0.409,6.0,4.3,1
48,TCU,Big 12,4.7,0-1,0,1,26.0,21.4,0.05,-0.09,0.403,0.424,5.0,4.6,1
49,Maryland,,4.6,Preseason,0,0,26.2,21.7,,,,,-0.0,5.2,0
50,Wisconsin,Big Ten,4.3,0-1,0,1,26.9,21.8,0.068,-0.08,0.412,0.423,2.9,5.2,1
51,Illinois,Big Ten,4.2,1-0,1,0,30.7,27.0,0.15,0.052,0.439,0.421,5.0,3.7,1
52,Minnesota,,4.0,Preseason,0,0,27.5,23.6,,,,,3.2,4.5,0
53,Duke,ACC,3.5,1-0,1,0,25.7,23.6,0.044,-0.024,0.396,0.399,5.6,2.1,1
54,North Dakota State,Mountain West,3.4,2-0,2,0,24.9,21.5,0.015,-0.078,0.417,0.4,3.3,3.4,1
55,Kentucky,,3.1,Preseason,0,0,24.9,21.8,,,,,2.6,3.5,0
56,James Madison,Sun Belt,2.9,1-0,1,0,23.8,20.4,-0.009,-0.109,0.414,0.411,2.1,3.4,1
57,Clemson,ACC,2.6,0-1,0,1,24.7,22.3,0.024,-0.073,0.388,0.438,2.8,2.4,1
58,Washington State,Pac-12,2.6,0-1,0,1,25.1,22.6,0.025,-0.06,0.403,0.424,2.8,2.5,1
59,Old Dominion,,2.4,Preseason,0,0,24.1,21.8,,,,,2.7,2.6,0
60,Tulane,American Athletic,1.9,0-1,0,1,22.6,19.8,-0.034,-0.118,0.398,0.396,0.6,2.8,1
61,Houston,Big 12,1.8,1-0,1,0,26.8,25.2,0.055,0.01,0.434,0.414,2.1,1.5,1
62,UTSA,,1.0,Preseason,0,0,26.2,25.3,,,,,0.3,1.1,0
63,Memphis,American Athletic,1.0,2-0,2,0,29.7,29.1,0.123,0.107,0.442,0.414,1.8,0.5,2
64,Wake Forest,ACC,0.7,1-0,1,0,24.8,24.4,0.014,-0.017,0.418,0.431,1.1,0.4,1
65,Navy,,0.6,Preseason,0,0,26.3,25.8,,,,,1.8,0.6,0
66,North Carolina,ACC,0.5,1-0,1,0,24.8,24.6,0.01,-0.0,0.424,0.403,1.0,0.2,1
67,New Mexico,Mountain West,0.1,1-0,1,0,26.5,27.6,0.051,0.078,0.427,0.394,2.0,-1.1,1
68,NC State,ACC,-0.2,0-1,0,1,26.3,26.8,0.057,0.045,0.4,0.426,0.4,-0.6,1
69,Northwestern,,-0.7,Preseason,0,0,23.7,24.5,,,,,1.9,-0.9,0
70,South Florida,American Athletic,-0.7,1-0,1,0,24.7,26.2,0.01,0.034,0.418,0.415,0.4,-1.5,1
71,Texas State,Pac-12,-1.1,0-1,0,1,32.2,31.0,0.198,0.146,0.415,0.431,-4.5,1.2,1
72,Michigan State,Big Ten,-1.8,1-0,1,0,23.1,26.2,-0.025,0.042,0.41,0.396,0.2,-3.0,1
73,Army,,-2.6,Preseason,0,0,28.3,31.0,,,,,1.2,-3.1,0
74,Stanford,ACC,-2.8,1-1,1,1,26.6,27.4,0.06,0.058,0.414,0.432,-5.7,-0.8,2
75,Toledo,Mid-American,-3.1,0-1,0,1,22.1,24.5,-0.045,-0.007,0.395,0.41,-4.2,-2.4,1
76,Boston College,ACC,-3.2,0-1,0,1,24.0,26.8,-0.005,0.051,0.413,0.411,-3.7,-2.9,1
77,UNLV,Mountain West,-3.3,1-1,1,1,23.5,28.2,-0.007,0.081,0.388,0.42,-1.4,-4.7,2
78,California,ACC,-3.4,0-1,0,1,25.7,29.1,0.04,0.095,0.404,0.443,-3.3,-3.5,1
79,Syracuse,,-3.6,Preseason,0,0,24.1,27.8,,,,,-4.5,-4.2,0
80,North Texas,American Athletic,-3.7,0-1,0,1,31.3,34.5,0.18,0.233,0.408,0.432,-4.5,-3.1,1
81,San José State,Mountain West,-4.0,1-1,1,1,24.3,27.8,0.006,0.064,0.405,0.437,-4.7,-3.5,2
82,East Carolina,American Athletic,-4.0,0-1,0,1,22.0,24.8,-0.045,-0.009,0.39,0.433,-5.8,-2.8,1
83,San Diego State,,-4.3,Preseason,0,0,22.7,27.1,,,,,-4.4,-5.1,0
84,Purdue,,-4.6,Preseason,0,0,25.6,30.4,,,,,-4.7,-5.4,0
85,West Virginia,Big 12,-4.8,1-0,1,0,23.6,29.3,-0.017,0.109,0.416,0.419,-3.5,-5.7,1
86,Western Michigan,Mid-American,-5.0,0-1,0,1,22.0,28.2,-0.051,0.082,0.403,0.42,-3.0,-6.2,1
87,Utah State,,-5.4,Preseason,0,0,25.0,30.5,,,,,-6.0,-6.3,0
88,South Alabama,,-6.1,Preseason,0,0,25.3,31.5,,,,,-5.6,-7.0,0
89,Colorado State,Pac-12,-6.1,1-0,1,0,24.0,30.4,-0.011,0.137,0.427,0.419,-5.5,-6.5,1
90,Liberty,Conference USA,-6.2,0-1,0,1,25.5,32.8,0.033,0.197,0.41,0.414,-4.7,-7.3,1
91,Nevada,Mountain West,-7.0,1-0,1,0,23.2,31.2,-0.035,0.156,0.436,0.421,-5.4,-8.0,1
92,Oregon State,Pac-12,-7.9,0-1,0,1,22.2,30.4,-0.05,0.13,0.414,0.434,-7.6,-8.2,1
93,Fresno State,Pac-12,-8.0,0-1,0,1,14.5,21.8,-0.228,-0.074,0.381,0.409,-9.2,-7.3,1
94,Tulsa,American Athletic,-8.0,1-0,1,0,20.4,28.1,-0.097,0.085,0.416,0.407,-8.4,-7.7,1
95,Marshall,Sun Belt,-8.2,0-1,0,1,21.1,28.7,-0.07,0.089,0.396,0.432,-9.1,-7.6,1
96,Ohio,Mid-American,-8.4,0-1,0,1,22.1,30.0,-0.049,0.119,0.407,0.434,-9.2,-7.8,1
97,Louisiana Tech,,-8.5,Preseason,0,0,19.5,28.1,,,,,-7.6,-9.8,0
98,Air Force,,-8.6,Preseason,0,0,26.1,34.7,,,,,-6.7,-9.9,0
99,Florida International,Conference USA,-10.5,0-1,0,1,16.3,26.5,-0.197,0.04,0.415,0.419,-10.8,-10.2,1
100,Louisiana,,-10.5,Preseason,0,0,24.4,35.0,,,,,-6.4,-12.2,0
101,Delaware,,-10.5,Preseason,0,0,23.9,34.4,,,,,-11.6,-12.1,0
102,Eastern Michigan,Mid-American,-10.9,1-1,1,1,18.9,28.6,-0.116,0.112,0.374,0.37,-12.8,-9.7,2
103,Jacksonville State,Conference USA,-11.0,1-1,1,1,18.2,29.3,-0.143,0.11,0.399,0.417,-11.0,-11.0,1
104,Florida Atlantic,American Athletic,-11.1,0-1,0,1,24.1,33.9,-0.003,0.214,0.413,0.442,-13.2,-9.8,1
105,Coastal Carolina,Sun Belt,-11.2,0-1,0,1,20.5,31.3,-0.095,0.16,0.419,0.416,-11.8,-10.8,1
106,Georgia Southern,,-11.3,Preseason,0,0,23.2,34.6,,,,,-6.8,-13.0,0
107,Troy,Sun Belt,-11.5,1-0,1,0,18.3,29.9,-0.143,0.121,0.402,0.428,-11.3,-11.7,1
108,Oklahoma State,Big 12,-11.5,0-1,0,1,18.7,30.9,-0.135,0.15,0.406,0.416,-10.4,-12.2,1
109,Hawai'i,Mountain West,-11.5,0-2,0,2,20.6,31.3,-0.082,0.157,0.394,0.427,-12.6,-10.8,2
110,UConn,,-11.6,Preseason,0,0,21.6,33.4,,,,,-5.4,-13.5,0
111,Miami (OH),Mid-American,-11.8,0-1,0,1,21.1,30.6,-0.071,0.133,0.4,0.438,-15.2,-9.5,1
